what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300358006424
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1300358006514
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358006693
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1300358007168
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358009399
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358013268
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358013532
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358023174
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1300358030521
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1300358030643
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358032676
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1300358032676
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358036670
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358042778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358052064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358061849
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358066365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358066391
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300358068741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1300358075579
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358080714
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1300358084035
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358084094
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358087902
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358093359
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1300358094613
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358097035
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358123095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358126341
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.clean.up",1300358126363
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358150501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358150610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358152480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358176474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358181823
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.clean.up",1300358181847
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1300358188213
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358188249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358190441
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300358191214
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358203282
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300358204364
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300358204597
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1300358215682
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358228531
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300358228531
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358229803
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1300358230049
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358237890
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358238203
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358275630
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358279134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358279207
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358280301
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358286683
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358303263
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358305254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358306477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358307474
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300358310096
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358323284
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300358324955
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300358325247
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358337157
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300358337157
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358344405
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358347366
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358347444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358348426
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358352868
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358360325
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358363461
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358363546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358364705
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358365250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358366520
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358367554
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358375429
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358379278
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358379358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358380510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358388583
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1300358391914
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1300358393685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358396731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358397845
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358403688
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1300358409160
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1300358409542
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358417056
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358417654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358420431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358426685
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300358428978
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358431057
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1300358433510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358433587
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358434798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358438855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358440503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358440512
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.400.v201006030400,"org.eclipse.jst.j2ee.J2EEPerspective",1300358489678
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358489695
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358489959
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1300358492230
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1300358493894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358503355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358504391
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1300358507026
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358507118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358508782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358512606
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300358514749
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1300358519798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358521406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358579058
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358581394
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1300358581727
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300358581727
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358586126
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1300358587658
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300358587659
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300358588999
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1300358590889
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1300358590924
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1300358590978
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1300358590984
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1300358591008
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1300358591012
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1300358591039
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1300358591067
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1300358591098
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1300358591111
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1300358591120
